Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1210,2,22u,
"C10, C11, C8, C9",1206,4,10u,
"C12, C4, C5",0603,3,100n,
C3,0805,1,1u,
C6,0603,1,1n2,
C7,0603,1,470n,
"D1, D2",DIODE_DO214AA_MBRS_VIS,2,SS26-E3/52T,
J1,BarrelJack_Horizontal,1,Barrel_Jack_MountingPin,
"J2, J3",SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,2,SMA,
L1,744873470_WRE,1,744873470,
R1,0603,1,143k,
R2,0603,1,1k,
R3,0603,1,75k,
R4,0603,1,4k3,
R5,0603,1,10k,
"R7, R8",1210,2,5,
RV1,Potentiometer_Bourns_3296W_Vertical,1,50k,
U1,TI_SO-PowerPAD-8_ThermalVias,1,TPS54360DDA,
U2,KC5,1,OPA544T,
